id	related_id	class	type/scale	name	relevance	text	help	language	validation	mandatory	other	default	same_default	allowed_filetypes	alphasort	answer_width	answer_width_bycolumn	array_filter	array_filter_exclude	array_filter_style	assessment_value	category_separator	choice_input_columns	choice_title	code_filter	commented_checkbox	commented_checkbox_auto	cssclass	date_format	date_max	date_min	display_columns	display_rows	display_type	dropdown_dates	dropdown_dates_minute_step	dropdown_dates_month_style	dropdown_prefix	dropdown_prepostfix	dropdown_separators	dropdown_size	dualscale_headerA	dualscale_headerB	em_validation_q	em_validation_q_tip	em_validation_sq	em_validation_sq_tip	equals_num_value	equation	exclude_all_others	exclude_all_others_auto	hidden	hide_tip	input_boxes	input_size	label_input_columns	location_city	location_country	location_defaultcoordinates	location_mapheight	location_mapservice	location_mapwidth	location_mapzoom	location_nodefaultfromip	location_postal	location_state	max_answers	max_filesize	max_num_of_files	max_num_value	max_num_value_n	max_subquestions	maximum_chars	min_answers	min_num_of_files	min_num_value	min_num_value_n	multiflexible_checkbox	multiflexible_max	multiflexible_min	multiflexible_step	num_value_int_only	numbers_only	other_comment_mandatory	other_numbers_only	other_replace_text	page_break	parent_order	prefix	printable_help	public_statistics	question_template	random_group	random_order	rank_title	repeat_headings	reverse	samechoiceheight	samelistheight	scale_export	show_comment	show_grand_total	show_title	show_totals	showpopups	slider_accuracy	slider_custom_handle	slider_default	slider_default_set	slider_handle	slider_layout	slider_max	slider_middlestart	slider_min	slider_orientation	slider_rating	slider_reset	slider_reversed	slider_separator	slider_showminmax	statistics_graphtype	statistics_showgraph	statistics_showmap	suffix	text_input_columns	text_input_width	time_limit	time_limit_action	time_limit_countdown_message	time_limit_disable_next	time_limit_disable_prev	time_limit_message	time_limit_message_delay	time_limit_message_style	time_limit_timer_style	time_limit_warning	time_limit_warning_2	time_limit_warning_2_display_time	time_limit_warning_2_message	time_limit_warning_2_style	time_limit_warning_display_time	time_limit_warning_message	time_limit_warning_style	use_dropdown	value_range_allows_missing
		S		showsurveypolicynotice		0																																																																																																																																											
		SL		surveyls_survey_id		831363		en																																																																																																																																									
		SL		surveyls_language		en		en																																																																																																																																									
		SL		surveyls_title		"OpenMetaDesign Research Study"		en																																																																																																																																									
		SL		surveyls_description		"<p>OpenMetaDesign is a free/open source digital platform for the collaborative design and discussion of collaborative design processes. It is a platform that aims at facilitating the development of collaborative Open Design projects for the Maker movement.</p><p>It is the result of the doctoral research of Massimo Menichinelli at <a href=""http://www.aalto.fi/en/"">Aalto University</a> – <a href=""http://arts.aalto.fi/en/"">School of Arts, Design and Architecture</a> – <a href=""http://media.aalto.fi/en/"">Department of Media</a> - <a href=""http://medialab.aalto.fi/"">Media Lab Helsinki</a> (Helsinki, Finland).</p><p>This survey is part of OpenMetaDesign Research Study, which aims at understanding your experience with OpenMetaDesign and how to improve it.</p><p>For more information:</p><p><a href=""https://research.aalto.fi/portal/massimo.menichinelli.html"">https://research.aalto.fi/portal/massimo.menichinelli.html</a></p><p><a href=""https://github.com/openp2pdesign/OpenMetaDesign"">https://github.com/openp2pdesign/OpenMetaDesign</a></p>"		en																																																																																																																																									
		SL		surveyls_welcometext		"Welcome to the OpenMetaDesign Research Study!"		en																																																																																																																																									
		SL		surveyls_endtext		"<p>Thank you very much for participating in the OpenMetaDesign Research Study!</p><p>For more information on this research study or in case of any questions, please contact:<br />Massimo Menichinelli – +34 657341068 – <a href=""mailto:massimo.menichinelli@aalto.fi?subject=OpenMetaDesign%20Research%20Study"">massimo.menichinelli@aalto.fi</a></p>"		en																																																																																																																																									
		SL		surveyls_url				en																																																																																																																																									
		SL		surveyls_urldescription				en																																																																																																																																									
		SL		surveyls_email_invite_subj		"Invitation to participate in a survey"		en																																																																																																																																									
		SL		surveyls_email_invite		"Dear {FIRSTNAME},<br /><br />you have been invited to participate in a survey.<br /><br />The survey is titled:<br />""{SURVEYNAME}""<br /><br />""{SURVEYDESCRIPTION}""<br /><br />To participate, please click on the link below.<br /><br />Sincerely,<br /><br />{ADMINNAME} ({ADMINEMAIL})<br /><br />----------------------------------------------<br />Click here to do the survey:<br />{SURVEYURL}<br /><br />If you do not want to participate in this survey and don't want to receive any more invitations please click the following link:<br />{OPTOUTURL}<br /><br />If you are blacklisted but want to participate in this survey and want to receive invitations please click the following link:<br />{OPTINURL}"		en																																																																																																																																									
		SL		surveyls_email_remind_subj		"Reminder to participate in a survey"		en																																																																																																																																									
		SL		surveyls_email_remind		"Dear {FIRSTNAME},<br /><br />Recently we invited you to participate in a survey.<br /><br />We note that you have not yet completed the survey, and wish to remind you that the survey is still available should you wish to take part.<br /><br />The survey is titled:<br />""{SURVEYNAME}""<br /><br />""{SURVEYDESCRIPTION}""<br /><br />To participate, please click on the link below.<br /><br />Sincerely,<br /><br />{ADMINNAME} ({ADMINEMAIL})<br /><br />----------------------------------------------<br />Click here to do the survey:<br />{SURVEYURL}<br /><br />If you do not want to participate in this survey and don't want to receive any more invitations please click the following link:<br />{OPTOUTURL}"		en																																																																																																																																									
		SL		surveyls_email_register_subj		"Survey registration confirmation"		en																																																																																																																																									
		SL		surveyls_email_register		"Dear {FIRSTNAME},<br /><br />You, or someone using your email address, have registered to participate in an online survey titled {SURVEYNAME}.<br /><br />To complete this survey, click on the following URL:<br /><br />{SURVEYURL}<br /><br />If you have any questions about this survey, or if you did not register to participate and believe this email is in error, please contact {ADMINNAME} at {ADMINEMAIL}."		en																																																																																																																																									
		SL		surveyls_email_confirm_subj		"Confirmation of your participation in our survey"		en																																																																																																																																									
		SL		surveyls_email_confirm		"Dear {FIRSTNAME},<br /><br />this email is to confirm that you have completed the survey titled {SURVEYNAME} and your response has been saved. Thank you for participating.<br /><br />If you have any further questions about this email, please contact {ADMINNAME} on {ADMINEMAIL}.<br /><br />Sincerely,<br /><br />{ADMINNAME}"		en																																																																																																																																									
		SL		surveyls_dateformat		5		en																																																																																																																																									
		SL		email_admin_notification_subj		"Response submission for survey {SURVEYNAME}"		en																																																																																																																																									
		SL		email_admin_notification		"Hello,<br /><br />A new response was submitted for your survey '{SURVEYNAME}'.<br /><br />Click the following link to see the individual response:<br />{VIEWRESPONSEURL}<br /><br />Click the following link to edit the individual response:<br />{EDITRESPONSEURL}<br /><br />View statistics by clicking here:<br />{STATISTICSURL}"		en																																																																																																																																									
		SL		email_admin_responses_subj		"Response submission for survey {SURVEYNAME} with results"		en																																																																																																																																									
		SL		email_admin_responses		"Hello,<br /><br />A new response was submitted for your survey '{SURVEYNAME}'.<br /><br />Click the following link to see the individual response:<br />{VIEWRESPONSEURL}<br /><br />Click the following link to edit the individual response:<br />{EDITRESPONSEURL}<br /><br />View statistics by clicking here:<br />{STATISTICSURL}<br /><br /><br />The following answers were given by the participant:<br />{ANSWERTABLE}"		en																																																																																																																																									
		SL		surveyls_numberformat		0		en																																																																																																																																									
30		G	9	"You and OpenMetaDesign"	"Q00 == ""Y"""	"We would like to ask you few questions about you and your experience with OpenMetaDesign, in order to understand better how it could be useful for you and how it could be improved in the future."		en																																																																																																																																									
596		Q	T	Q46	1	"How could we improve OpenMetaDesign?"	"Please describe how OpenMetaDesign could be improved in terms of existing features, new features, changes in the visualizations and connections with other platforms and services, for example."	en			N		0																																																																																																																																				
729		Q	F	Q44	1	"How did you find OpenMetaDesign useful?"	"Please rate each of these sentences on a 1 to 5 scale."	en			N		0																																																																																																																																				
734		SQ		SQ005	1	"I find OpenMetaDesign useful for discussing the organization of projects"		en			N		0																																																																																																																																				
735		SQ		SQ006	1	"I find OpenMetaDesign useful for discussing problems in projects"		en			N		0																																																																																																																																				
733		SQ		SQ004	1	"I find OpenMetaDesign useful for discussing flows"		en			N		0																																																																																																																																				
732		SQ		SQ003	1	"I find OpenMetaDesign useful for discussing activities"		en			N		0																																																																																																																																				
731		SQ		SQ002	1	"I find OpenMetaDesign useful for discussing processes"		en			N		0																																																																																																																																				
730		SQ		SQ001	1	"I find OpenMetaDesign useful for discussing projects"		en			N		0																																																																																																																																				
729		A	0	A6		"5 - Strongly agree"		en													0																																																																																																																												
729		A	0	A5		"4 - Agree"		en													0																																																																																																																												
729		A	0	A4		"3 - Neither agree nor disagree"		en													0																																																																																																																												
729		A	0	A3		"2 - Disagree"		en													0																																																																																																																												
729		A	0	A2		"1 - Strongly disagree"		en													0																																																																																																																												
554		Q	M	Q47	1	"How do you think OpenMetaDesign could contribute to the development of the Open Design and Maker movement?"		en			Y		0																																																																																																																																				
727		SQ		SQ002	1	"Improve the manufacturing of open and collaborative projects"		en			N		0																																																																																																																																				
728		SQ		SQ003	1	"Improve the supply chains of open and collaborative projects"		en			N		0																																																																																																																																				
726		SQ		SQ007	1	"Connecting more people with a single Maker laboratory (Fab Lab, Makerspace, Hackerspace, ...)"		en			N		0																																																																																																																																				
725		SQ		SQ006	1	"Improving the collaboration of Maker laboratories (Fab Lab, Makerspace, Hackerspace, ...) with non-maker organizations (companies, craftsmen, universities, workshops, associations, ... )"		en			N		0																																																																																																																																				
723		SQ		SQ004	1	"Improving the organization, coordination and collaboration within a single Maker laboratory (Fab Lab, Makerspace, Hackerspace, ...)"		en			N		0																																																																																																																																				
724		SQ		SQ005	1	"Improving the organization, coordination and collaboration within the networks of Maker laboratories (Fab Lab, Makerspace, Hackerspace, ...)"		en			N		0																																																																																																																																				
555		SQ		SQ001	1	"Improve the design of open and collaborative projects"		en			N		0																																																																																																																																				
553		Q	F	Q43	1	"How would you rate the usability of OpenMetaDesign?"	"Please rate each of these sentences on a 1 to 5 scale."	en			N		0																																																																																																																																				
579		SQ		SQ009	1	"I would imagine that most people would learn to use this system very quickly."		en			N		0																																																																																																																																				
583		SQ		SQ010	1	"I found the system very cumbersome to use."		en			N		0																																																																																																																																				
588		SQ		SQ011	1	"I felt very confident using the system."		en			N		0																																																																																																																																				
593		SQ		SQ012	1	"I needed to learn a lot of things before I could get going with this system."		en			N		0																																																																																																																																				
575		SQ		SQ008	1	"I thought there was too much inconsistency in this system."		en			N		0																																																																																																																																				
573		SQ		SQ007	1	"I found the various functions in this system were well integrated."		en			N		0																																																																																																																																				
562		SQ		SQ003	1	"I found the system unnecessarily complex."		en			N		0																																																																																																																																				
566		SQ		SQ004	1	"I thought the system was easy to use."		en			N		0																																																																																																																																				
570		SQ		SQ005	1	"I think that I would need the support of a technical person to be able to use this system."		en			N		0																																																																																																																																				
558		SQ		SQ002	1	"I think that I would like to use this system frequently."		en			N		0																																																																																																																																				
553		A	0	A2		"1 - Strongly disagree"		en													0																																																																																																																												
553		A	0	A6		"5 - Strongly agree"		en													0																																																																																																																												
553		A	0	A5		"4 - Agree"		en													0																																																																																																																												
553		A	0	A3		"2 - Disagree"		en													0																																																																																																																												
553		A	0	A4		"3 - Neither agree nor disagree"		en													0																																																																																																																												
552		Q	F	Q48	1	"What does need improvement in OpenMetaDesign?"	"Please rate each of these sections on a 1 to 5 scale."	en			N		0																																																																																																																																				
722		SQ		SQ005	1	"Help sections"		en			N		0																																																																																																																																				
721		SQ		SQ003	1	"Project section"		en			N		0																																																																																																																																				
720		SQ		SQ002	1	"User profile section"		en			N		0																																																																																																																																				
719		SQ		SQ001	1	Homepage		en			N		0																																																																																																																																				
581		SQ		SQ004	1	"Discussion, chat, messages among users"		en			N		0																																																																																																																																				
552		A	0	A6		"5 - Strongly agree"		en													0																																																																																																																												
552		A	0	A5		"4 - Agree"		en													0																																																																																																																												
552		A	0	A4		"3 - Neither agree nor disagree"		en													0																																																																																																																												
552		A	0	A3		"2 - Disagree"		en													0																																																																																																																												
552		A	0	A2		"1 - Strongly disagree"		en													0																																																																																																																												
551		Q	T	Q45	1	"What would do you use OpenMetaDesign for?"	"Please decribe how you would use OpenMetaDesign, for which kind of initiatives or contexts, and in which ways."	en			N		0																																																																																																																																				
31		G	8	"Interactions in your group during the research study"	"Q00 == ""Y"""	"<p>We would like to ask you a few questions about your experience of the interactions in your open and making practice with the other participants <strong>during this research study</strong>, in order to understand better how OpenMetaDesign could support you.</p>"		en																																																																																																																																									
601		Q	:	Q42	1	"<p>How positive or negative do you think the collaborations among all the participants have been <strong>during this research study</strong>?</p>"	"<p>Please rate the interactions among all the participants on a 1 to 5 scale (multiple choice).</p>"	en			N		0					Products																																																													5	1																																																																	
715		SQ	1	SQ002		{Q33_SQ2}		en			N		0																																																																																																																																				
716		SQ	1	SQ003		{Q33_SQ3}		en			N		0																																																																																																																																				
717		SQ	1	SQ004		{Q33_SQ4}		en			N		0																																																																																																																																				
718		SQ	1	SQ005		{Q33_SQ5}		en			N		0																																																																																																																																				
714		SQ	1	SQ001		{Q33_SQ1}		en			N		0																																																																																																																																				
713		SQ		SQ005	1	{Q33_SQ5}		en			N		0																																																																																																																																				
710		SQ		SQ002	1	{Q33_SQ2}		en			N		0																																																																																																																																				
711		SQ		SQ003	1	{Q33_SQ3}		en			N		0																																																																																																																																				
712		SQ		SQ004	1	{Q33_SQ4}		en			N		0																																																																																																																																				
709		SQ		SQ001	1	{Q33_SQ1}		en			N		0																																																																																																																																				
600		Q	:	Q41	1	"How do often do you think all the participants have collaborated among them <strong>during this research study</strong>?"	"<p>Please rate the interactions among all the participants on a 1 to 5 scale (multiple choice).</p>"	en			N		0					Products																																																													5	1																																																																	
705		SQ	1	SQ002		{Q33_SQ2}		en			N		0																																																																																																																																				
706		SQ	1	SQ003		{Q33_SQ3}		en			N		0																																																																																																																																				
707		SQ	1	SQ004		{Q33_SQ4}		en			N		0																																																																																																																																				
708		SQ	1	SQ005		{Q33_SQ5}		en			N		0																																																																																																																																				
704		SQ	1	SQ001		{Q33_SQ1}		en			N		0																																																																																																																																				
703		SQ		SQ005	1	{Q33_SQ5}		en			N		0																																																																																																																																				
700		SQ		SQ002	1	{Q33_SQ2}		en			N		0																																																																																																																																				
701		SQ		SQ003	1	{Q33_SQ3}		en			N		0																																																																																																																																				
702		SQ		SQ004	1	{Q33_SQ4}		en			N		0																																																																																																																																				
699		SQ		SQ001	1	{Q33_SQ1}		en			N		0																																																																																																																																				
599		Q	F	Q40	1	"How positive or negative have been your interactions with the other participants <strong>during the research study</strong>?"	"Please rate all the interactions with each of these participants on a 1 to 5 scale."	en			N		0					Products																																																																																																																															
698		SQ		SQ005	1	{Q33_SQ5}		en			N		0																																																																																																																																				
697		SQ		SQ004	1	{Q33_SQ4}		en			N		0																																																																																																																																				
696		SQ		SQ003	1	{Q33_SQ3}		en			N		0																																																																																																																																				
695		SQ		SQ002	1	{Q33_SQ2}		en			N		0																																																																																																																																				
694		SQ		SQ001	1	{Q33_SQ1}		en			N		0																																																																																																																																				
599		A	0	A5		"5 - Very positive collaboration"		en													0																																																																																																																												
599		A	0	A4		"4 - Positive collaboration"		en													0																																																																																																																												
599		A	0	A3		"3 - Moderate collaboration"		en													0																																																																																																																												
599		A	0	A2		"2 - Negative collaboration"		en													0																																																																																																																												
599		A	0	A1		"1 - Very negative collaboration"		en													0																																																																																																																												
598		Q	F	Q39	1	"How often have you interacted with the other participants <strong>during this research study</strong>?"	"Please rate all the interactions with each of these participants on a 1 to 5 scale."	en			N		0					Products																																																																																																																															
693		SQ		SQ005	1	{Q33_SQ5}		en			N		0																																																																																																																																				
692		SQ		SQ004	1	{Q33_SQ4}		en			N		0																																																																																																																																				
691		SQ		SQ003	1	{Q33_SQ3}		en			N		0																																																																																																																																				
690		SQ		SQ002	1	{Q33_SQ2}		en			N		0																																																																																																																																				
689		SQ		SQ001	1	{Q33_SQ1}		en			N		0																																																																																																																																				
598		A	0	A1		"1 - Very Rarely"		en													0																																																																																																																												
598		A	0	A2		"2 - Rarely"		en													0																																																																																																																												
598		A	0	A3		"3 - Occasionally"		en													0																																																																																																																												
598		A	0	A5		"5 - Very Frequently"		en													0																																																																																																																												
598		A	0	A4		"4 - Frequently"		en													0																																																																																																																												
32		G	6	"Organization in your group during this research study"	"Q00 == ""Y"""	"We would like to ask you a few questions about your experience in the organization of your making and open practice <strong>during this research study</strong>, in order to understand better how OpenMetaDesign could support it."		en																																																																																																																																									
650		Q	T	Q32	1	"Did you notice any form of organization of the work and roles present in the process <strong>during this research study</strong>?"	"Please describe any form of organization of the work among the participants you noticed during this research study, if roles were presents, task assigned, and decision-making processes in place."	en			N		0																																																																																																																																				
649		Q	T	Q31	1	"How was the work coordinated <strong>during this research study</strong>?"	"Please write something about how you coordinate your personal work during this research study."	en			N		0																																																																																																																																				
648		Q	L	Q30	1	"Did you find any collaboration among participants <strong>during this research study</strong>, and how was it?"	"Please choose one of these options regarding how you perceived the collaboration happening among all the people participating in this research study."	en			N		0																																																																																																																																				
648		A	0	A3		"Collaborative design of the same files/components"		en													1																																																																																																																												
648		A	0	A2		"Collaborative discussion about the project but work on individual projects/components"		en													1																																																																																																																												
648		A	0	A1		"No collaboration at all"		en													0																																																																																																																												
647		Q	L	Q29	1	"How did you experience the whole systems (actors, roles, interactions, organizations, places) <strong>during this research study</strong>?"	"Please choose one of these options, about how you experienced the whole system (intended as connections and interactions among actors, roles, organizations, places that you worked with) of working together with other people during this research study."	en			N		0																																																																																																																																				
647		A	0	A3		"There was a system with a certain structure, and I understood it and designed it with the others"		en													1																																																																																																																												
647		A	0	A2		"There was a system with a certain structure, and I understood it "		en													1																																																																																																																												
647		A	0	A1		"I did not notice an organized system, the differences between these entities were not clear"		en													0																																																																																																																												
646		Q	L	Q28	1	"How did you experience the whole process of working <strong>during this research study</strong>?"	"Please choose one of these options, about how you experienced the whole process of working together with other people during this research study."	en			N		0																																																																																																																																				
646		A	0	A3		"There was a process with a certain structure, and I understood it and designed it with the others"		en													1																																																																																																																												
646		A	0	A2		"There was a process with a certain structure, and I understood it "		en													1																																																																																																																												
646		A	0	A1		"I did not notice an organized process, everything was decided at each moment"		en													0																																																																																																																												
29		G	7	"Interactions in your group before the research study"	"Q00 == ""Y"""	"<p>We would like to ask you a few questions about your experience of the interactions in your open and making practice with the other participants <strong>before this research study</strong>, in order to understand better how OpenMetaDesign could support you.</p>"		en																																																																																																																																									
539		Q	:	Q38	1	"<p>How positive or negative do you think the collaborations among all the participants have been in the development of making and open source initiatives before this research study?</p>"	"<p>Please choose all the applicable options (multiple choice) rating them on a 1 to 5 scale.</p>"	en			N		0					Products																																																													5	1																																																																	
685		SQ	1	SQ002		{Q33_SQ2}		en			N		0																																																																																																																																				
686		SQ	1	SQ003		{Q33_SQ3}		en			N		0																																																																																																																																				
687		SQ	1	SQ004		{Q33_SQ4}		en			N		0																																																																																																																																				
688		SQ	1	SQ005		{Q33_SQ5}		en			N		0																																																																																																																																				
684		SQ	1	SQ001		{Q33_SQ1}		en			N		0																																																																																																																																				
683		SQ		SQ005	1	{Q33_SQ5}		en			N		0																																																																																																																																				
680		SQ		SQ002	1	{Q33_SQ2}		en			N		0																																																																																																																																				
681		SQ		SQ003	1	{Q33_SQ3}		en			N		0																																																																																																																																				
682		SQ		SQ004	1	{Q33_SQ4}		en			N		0																																																																																																																																				
679		SQ		SQ001	1	{Q33_SQ1}		en			N		0																																																																																																																																				
738		Q	C	Q34	1	"With whom of the other participants in this research study have you already worked together in open and making initiatives?"	"Please select all the corresponding options."	en			N		0																																																																																																																																				
744		SQ		SQ005	1	{Q33_SQ5}		en			N		0																																																																																																																																				
743		SQ		SQ004	1	{Q33_SQ4}		en			N		0																																																																																																																																				
742		SQ		SQ003	1	{Q33_SQ3}		en			N		0																																																																																																																																				
741		SQ		SQ002	1	{Q33_SQ2}		en			N		0																																																																																																																																				
740		SQ		SQ001	1	{Q33_SQ1}		en			N		0																																																																																																																																				
444		Q	:	Q37	1	"How do often do you think all the participants in this research study have collaborated among them in making and open source initiative before?"	"<p>Please rate the interactions among all the participants on a 1 to 5 scale (multiple choice).</p>"	en			N		0					Products																																																													5	1																																																																	
675		SQ	1	SQ002		{Q33_SQ2}		en			N		0																																																																																																																																				
676		SQ	1	SQ003		{Q33_SQ3}		en			N		0																																																																																																																																				
677		SQ	1	SQ004		{Q33_SQ4}		en			N		0																																																																																																																																				
678		SQ	1	SQ005		{Q33_SQ5}		en			N		0																																																																																																																																				
674		SQ	1	SQ001		{Q33_SQ1}		en			N		0																																																																																																																																				
673		SQ		SQ005	1	{Q33_SQ5}		en			N		0																																																																																																																																				
670		SQ		SQ002	1	{Q33_SQ2}		en			N		0																																																																																																																																				
671		SQ		SQ003	1	{Q33_SQ3}		en			N		0																																																																																																																																				
672		SQ		SQ004	1	{Q33_SQ4}		en			N		0																																																																																																																																				
669		SQ		SQ001	1	{Q33_SQ1}		en			N		0																																																																																																																																				
443		Q	F	Q35	1	"How often have you interacted (worked, discussed, ...) with the other participants in the development of making and open source initiative before this research study?"	"Please rate all the interactions with each of these participants on a 1 to 5 scale."	en			N		0					Products																																																																																																																															
478		SQ		SQ005	1	{Q33_SQ5}		en			N		0																																																																																																																																				
471		SQ		SQ004	1	{Q33_SQ4}		en			N		0																																																																																																																																				
464		SQ		SQ003	1	{Q33_SQ3}		en			N		0																																																																																																																																				
457		SQ		SQ002	1	{Q33_SQ2}		en			N		0																																																																																																																																				
450		SQ		SQ001	1	{Q33_SQ1}		en			N		0																																																																																																																																				
443		A	0	A5		"5 - Very Frequently"		en													0																																																																																																																												
443		A	0	A4		"4 - Frequently"		en													0																																																																																																																												
443		A	0	A3		"3 - Occasionally"		en													0																																																																																																																												
443		A	0	A2		"2 - Rarely"		en													0																																																																																																																												
443		A	0	A1		"1 - Very Rarely"		en													0																																																																																																																												
441		Q	F	Q36	1	"How positive or negative have been your interactions with the other participants during the open and making practice before this research study?"	"Please rate all the interactions with each of these participants on a 1 to 5 scale."	en			N		0					Products																																																																																																																															
668		SQ		SQ005	1	{Q33_SQ5}		en			N		0																																																																																																																																				
667		SQ		SQ004	1	{Q33_SQ4}		en			N		0																																																																																																																																				
666		SQ		SQ003	1	{Q33_SQ3}		en			N		0																																																																																																																																				
665		SQ		SQ002	1	{Q33_SQ2}		en			N		0																																																																																																																																				
664		SQ		SQ001	1	{Q33_SQ1}		en			N		0																																																																																																																																				
441		A	0	A5		"5 - Very positive collaboration"		en													0																																																																																																																												
441		A	0	A4		"4 - Positive collaboration"		en													0																																																																																																																												
441		A	0	A3		"3 - Moderate collaboration"		en													0																																																																																																																												
441		A	0	A2		"2 - Negative collaboration"		en													0																																																																																																																												
441		A	0	A1		"1 - Very negative collaboration"		en													0																																																																																																																												
439		Q	Q	Q33	1	"Who are the other participants in this research study?"	"Please list the names of the other participants in this research study."	en			N		0																																																																																																																																				
474		SQ		SQ5	1	"Participant 05"		en			N		0																																																																																																																																				
466		SQ		SQ4	1	"Participant 04"		en			N		0																																																																																																																																				
459		SQ		SQ3	1	"Participant 03"		en			N		0																																																																																																																																				
452		SQ		SQ2	1	"Participant 02"		en			N		0																																																																																																																																				
445		SQ		SQ1	1	"Participant 01"		en			N		0																																																																																																																																				
28		G	5	"Organization in your open and making practice before this research study"	"Q00 == ""Y"""	"We would like to ask you a few questions about your experience in the organization of your making and open practice <strong>before this research study</strong>, in order to understand better how OpenMetaDesign could support it."		en																																																																																																																																									
359		Q	K	Q27	1	"Rate how much you used these tools in the coordination of your work <strong>in your open and making practice so far</strong>."	"Please indicate the percentage of how the usage of these tools/dynamics for coordinating your work with other people in your open and making practice so far. <strong>The sum of all the items must be 100.</strong>"	en			N		0																																			100																																																																												%																					
520		SQ		SQ007	1	"Version Control repositories (GitHub, GitLab, BitBucket, ...)"		en			N		0																																																																																																																																				
521		SQ		SQ008	1	"File Storage (Google Drive, DropBox, ...)"		en			N		0																																																																																																																																				
522		SQ		SQ009	1	"Project Management platforms (Basecamp, Zoho, ...)"		en			N		0																																																																																																																																				
523		SQ		SQ010	1	"Realtime chat (Slack, Rocket.Chat, Mattermost, ...)"		en			N		0																																																																																																																																				
519		SQ		SQ006	1	Twitter		en			N		0																																																																																																																																				
365		SQ		SQ005	1	Facebook		en			N		0																																																																																																																																				
